[2, 1, 1, 1, 14, 1]	2013-06-17 13:04:56.875169	
[3, 3, 1, 1, 29, 4]	2013-06-17 13:05:06.462787	
[3, 3, 1, 1, 45, 5]	2013-06-17 13:05:16.551617	
[4, 3, 1, 1, 65, 9]	2013-06-17 13:05:27.568366	
[6, 4, 1, 1, 76, 12]	2013-06-17 13:05:38.267748	
[6, 5, 1, 1, 86, 15]	2013-06-17 13:05:49.536893	
[7, 5, 1, 1, 89, 17]	2013-06-17 13:06:00.830421	
[8, 5, 1, 1, 92, 18]	2013-06-17 13:06:12.744201	
[9, 5, 1, 1, 100, 20]	2013-06-17 13:06:24.343929	
[33, 5, 1, 1, 414, 46]	2013-06-17 13:06:42.543515	
[44, 8, 1, 1, 433, 69]	2013-06-17 13:07:01.795474	
[63, 5, 1, 1, 435, 81]	2013-06-17 13:07:21.090601	
[68, 5, 1, 1, 443, 86]	2013-06-17 13:07:39.877297	
[74, 5, 1, 1, 452, 91]	2013-06-17 13:07:59.314932	
[85, 4, 1, 1, 451, 98]	2013-06-17 13:08:19.608520	
[93, 4, 1, 1, 456, 106]	2013-06-17 13:08:41.008120	
[95, 4, 1, 1, 462, 109]	2013-06-17 13:09:01.541619	
[99, 4, 1, 1, 464, 113]	2013-06-17 13:09:22.220295	
[102, 4, 1, 1, 469, 117]	2013-06-17 13:09:44.359609	
[102, 4, 1, 1, 469, 117]	2013-06-17 13:10:06.035533	
[109, 4, 1, 1, 472, 123]	2013-06-17 13:10:28.403704	
[111, 4, 1, 1, 476, 125]	2013-06-17 13:10:51.430604	
[112, 4, 1, 1, 482, 126]	2013-06-17 13:11:14.654478	
[114, 4, 1, 1, 491, 133]	2013-06-17 13:11:37.120050	
[121, 4, 1, 1, 496, 140]	2013-06-17 13:11:59.927423	
[124, 4, 1, 1, 502, 143]	2013-06-17 13:12:23.341900	
[131, 4, 1, 1, 510, 150]	2013-06-17 13:12:46.675522	
[131, 4, 1, 1, 516, 151]	2013-06-17 13:13:09.464135	
[138, 4, 1, 1, 526, 160]	2013-06-17 13:13:33.846316	
[144, 4, 1, 1, 529, 168]	2013-06-17 13:13:57.461654	
[145, 4, 1, 1, 532, 169]	2013-06-17 13:14:21.011579	
[149, 4, 1, 1, 534, 173]	2013-06-17 13:14:45.687506	
[155, 4, 1, 1, 537, 178]	2013-06-17 13:15:10.179103	
[156, 4, 1, 1, 544, 179]	2013-06-17 13:15:35.543211	
[159, 4, 1, 1, 545, 183]	2013-06-17 13:16:06.349670	
[167, 4, 1, 1, 550, 191]	2013-06-17 13:16:31.894455	
[167, 4, 1, 1, 551, 191]	2013-06-17 13:17:03.722189	
[168, 4, 1, 1, 552, 192]	2013-06-17 13:17:34.851806	
[168, 4, 1, 1, 554, 194]	2013-06-17 13:18:00.085355	
[176, 4, 1, 1, 555, 201]	2013-06-17 13:18:25.811528	
[178, 4, 1, 1, 559, 204]	2013-06-17 13:18:52.218138	
[179, 4, 1, 1, 563, 205]	2013-06-17 13:19:17.280947	
[180, 4, 1, 1, 567, 206]	2013-06-17 13:19:43.631072	
[182, 4, 1, 1, 571, 210]	2013-06-17 13:20:10.062422	
[182, 4, 1, 1, 573, 210]	2013-06-17 13:20:35.965966	
[187, 4, 1, 1, 572, 215]	2013-06-17 13:21:04.068785	
[197, 4, 1, 1, 573, 222]	2013-06-17 13:21:30.558972	
[200, 4, 1, 1, 575, 225]	2013-06-17 13:21:57.315369	
[205, 4, 1, 1, 576, 230]	2013-06-17 13:22:23.885012	
[206, 4, 1, 1, 581, 231]	2013-06-17 13:22:50.450009	
[207, 4, 1, 1, 584, 232]	2013-06-17 13:23:17.729811	
