4000	4000	3	2	1	1	217	1573	2013-06-17 10:30:25.454307	3763	Duplicates	
4100	4100	3	2	1	1	217	2397	2013-06-17 10:34:55.583633	3779	Duplicates	
4200	4200	3	2	1	1	217	2788	2013-06-17 10:37:44.308366	3793	Duplicates	
4300	4300	3	2	1	1	217	3205	2013-06-17 10:41:18.839858	3812	Duplicates	
4400	4400	3	2	1	1	217	3590	2013-06-17 10:44:20.443869	3832	Duplicates	
4600	4600	3	2	1	1	217	4663	2013-06-17 10:51:43.316001	3885	Duplicates	
4652	4652	418	11	1	1	2145	12	2013-06-17 10:55:33.729207	2013-06-17 10:57:45.356708	1370563233	
4700	4700	418	11	1	1	2145	373	2013-06-17 10:59:17.657314	4656	Duplicates	
4800	4800	418	11	1	1	2145	783	2013-06-17 11:01:44.588738	4681	Duplicates	
4651	4651	6	5	1	1	161	4	2013-06-17 11:04:06.168713	2013-06-17 11:04:43.283145	
4900	4900	418	11	1	1	2145	1275	2013-06-17 11:04:52.392508	4698	Duplicates	
4700	4700	6	5	1	1	161	389	2013-06-17 11:07:06.492044	4655	Duplicates	
5000	5000	418	11	1	1	2145	1691	2013-06-17 11:10:43.941800	4724	Duplicates	
4800	4800	6	5	1	1	161	810	2013-06-17 11:10:53.202803	4680	Duplicates	
5100	5100	418	11	1	1	2145	2080	2013-06-17 11:14:41.805172	4754	Duplicates	
4900	4900	6	5	1	1	161	1315	2013-06-17 11:15:09.765134	4697	Duplicates	
5000	5000	6	5	1	1	161	1762	2013-06-17 11:20:25.623273	4723	Duplicates	
5100	5100	6	5	1	1	161	2157	2013-06-17 11:23:52.680363	4753	Duplicates	
5102	5102	5	4	1	1	423	11	2013-06-17 11:36:03.657494	2013-06-17 11:37:03.941858	
5200	5200	5	4	1	1	423	384	2013-06-17 11:41:06.941346	5130	Duplicates	
5207	5207	5	4	1	1	356	2	2013-06-17 11:50:46.026713	2013-06-17 11:51:08.403772	1370565832	
5400	5400	5	4	1	1	356	797	2013-06-17 11:56:45.589974	5249	Duplicates	
